relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
1,0,12,3,0.0,0,48.0,0.0,0.0,95,0.0,48.0,0
0,0,8,8,0.0,85,10.0,1.0,4.0,10,1.0,1.0,5
0,0,6,5,1.0,82,32.0,2.0,2.0,123,1.0,32.0,8
2,1,0,0,0.0,161,27.0,0.0,1.0,79,0.0,27.0,2
2,1,2,2,0.0,82,40.0,1.0,4.0,7,1.0,41.0,6
2,0,0,0,2.0,87,10.0,3.0,2.0,63,2.0,10.0,1
2,0,1,0,2.0,75,12.0,3.0,2.0,147,2.0,12.0,9
1,1,7,1,4.0,157,60.0,1.0,5.0,4,0.0,60.0,7
1,1,10,7,0.0,195,37.0,0.0,1.0,45,0.0,37.0,7
0,0,5,2,4.0,115,45.0,2.0,2.0,25,4.0,45.0,8
1,1,8,1,4.0,187,10.0,1.0,7.0,1,0.0,10.0,7
2,1,0,0,2.0,82,29.0,3.0,2.0,48,2.0,29.0,2
2,0,4,8,0.0,0,51.0,0.0,0.0,75,0.0,51.0,0
0,0,7,5,1.0,88,63.0,2.0,2.0,97,1.0,63.0,4
1,1,8,1,4.0,190,2.0,1.0,5.0,5,0.0,21.0,7
0,0,6,3,1.0,222,22.0,1.0,5.0,10,0.0,14.0,8
2,0,1,0,0.0,77,67.0,1.0,3.0,1,2.0,67.0,9
2,0,1,0,2.0,81,63.0,3.0,2.0,91,2.0,63.0,9
2,0,0,0,2.0,88,5.0,3.0,2.0,40,2.0,5.0,1
2,1,2,0,0.0,200,19.0,0.0,1.0,40,0.0,19.0,6
2,1,1,0,2.0,185,35.0,1.0,4.0,5,0.0,36.0,6
0,0,7,4,0.0,60,32.0,1.0,4.0,15,1.0,22.0,4
0,0,6,4,0.0,0,65.0,0.0,0.0,70,0.0,65.0,8
0,1,6,4,1.0,130,1.0,1.0,4.0,5,0.0,13.0,3
0,1,4,1,0.0,0,13.0,0.0,0.0,150,0.0,13.0,3
2,0,0,0,2.0,86,15.0,3.0,2.0,61,2.0,15.0,1
0,0,11,8,0.0,0,42.0,0.0,0.0,90,0.0,42.0,8
0,1,10,1,0.0,100,41.0,1.0,5.0,3,4.0,41.0,3
0,0,11,4,0.0,150,23.0,1.0,4.0,5,1.0,23.0,8
0,0,8,4,0.0,80,63.0,1.0,5.0,7,1.0,70.0,5
0,0,8,8,0.0,82,27.0,1.0,5.0,3,1.0,27.0,5
2,1,0,0,2.0,132,21.0,1.0,3.0,1,0.0,21.0,2
0,0,7,5,4.0,225,23.0,1.0,8.0,2,0.0,23.0,4
1,1,6,5,1.0,182,0.0,1.0,4.0,13,0.0,15.0,7
0,0,12,6,1.0,195,69.0,1.0,5.0,3,0.0,69.0,8
2,0,2,0,0.0,0,22.0,0.0,0.0,78,0.0,22.0,1
2,0,12,4,4.0,117,8.0,5.0,2.0,73,4.0,8.0,0
2,0,0,0,0.0,0,29.0,0.0,0.0,85,0.0,29.0,1
0,0,12,1,4.0,150,5.0,6.0,2.0,10,4.0,5.0,8
